RR 50 10
 0	A	10	S
 10	B	10	S
 20	C	10	S
 30	A	10	S
 40	B	10	B
 50	C	10	S
 60	A	5	B
 65	C	10	S
 75	C	10	S
 85	C	5	B
 90	<idle>	10	I
 100	B	10	S
 110	B	10	B
 120	A	10	S
 130	A	10	S
 140	C	10	S
 150	A	5	B
 155	C	10	S
 165	C	10	S
 175	B	10	T
 185	C	10	S
 195	C	5	T
 200	<idle>	5	I
 205	A	10	S
 215	A	10	S
 225	A	5	B
 230	<idle>	50	I
 280	A	10	S
 290	A	10	S
 300	A	5	T
 305	<done>	229
SPN 50
 0	A	25	B
 25	B	20	B
 45	C	45	B
 90	A	25	B
 115	B	20	B
 135	<idle>	5	I
 140	C	45	T
 185	B	10	T
 195	A	25	B
 220	<idle>	50	I
 270	A	25	T
 295	<done>	224
